Crash ID,Crash Type,Speed Limit,Time,Year,Month,Dayweek,Day of week,Time of day
20241115,Single,100,4:00,2024,12,Friday,Weekday,Night
20241125,Single,80,6:15,2024,12,Friday,Weekday,Day
20246013,Single,50,9:43,2024,12,Friday,Weekday,Day
20241002,Single,100,10:35,2024,12,Friday,Weekday,Day
20243185,Single,100,13:00,2024,12,Friday,Weekday,Day
20244016,Single,100,13:39,2024,12,Friday,Weekday,Day
20243168,Single,60,19:00,2024,12,Friday,Weekend,Night
20246003,Single,50,19:30,2024,12,Friday,Weekend,Night
20246001,Single,100,19:40,2024,12,Friday,Weekend,Night
20244081,Single,50,22:42,2024,12,Friday,Weekend,Night
20241087,Single,70,23:00,2024,12,Friday,Weekend,Night
20241054,Single,110,23:10,2024,12,Friday,Weekend,Night
20244042,Single,100,1:00,2024,12,Monday,Weekend,Night
20243246,Single,80,9:00,2024,12,Monday,Weekday,Day
20241101,Single,60,10:48,2024,12,Monday,Weekday,Day
20241216,Single,60,12:05,2024,12,Monday,Weekday,Day
20241300,Single,100,13:58,2024,12,Monday,Weekday,Day
20243007,Single,100,14:00,2024,12,Monday,Weekday,Day
20241278,Single,100,14:43,2024,12,Monday,Weekday,Day
20241149,Single,40,16:00,2024,12,Monday,Weekday,Day
20241068,Single,110,3:30,2024,12,Saturday,Weekend,Night
20243273,Single,100,4:00,2024,12,Saturday,Weekend,Night
20244020,Single,100,10:25,2024,12,Saturday,Weekend,Day
20244055,Multiple,110,10:36,2024,12,Saturday,Weekend,Day
20241094,Single,50,12:10,2024,12,Saturday,Weekend,Day
20243160,Multiple,100,14:00,2024,12,Saturday,Weekend,Day
20243209,Single,50,14:00,2024,12,Saturday,Weekend,Day
20244001,Single,100,14:50,2024,12,Saturday,Weekend,Day
20243243,Single,70,15:00,2024,12,Saturday,Weekend,Day
20246016,Single,100,15:18,2024,12,Saturday,Weekend,Day
20241119,Multiple,100,15:25,2024,12,Saturday,Weekend,Day
20241169,Single,80,21:30,2024,12,Saturday,Weekend,Night
20241291,Single,110,2:00,2024,12,Sunday,Weekend,Night
20243036,Single,100,4:00,2024,12,Sunday,Weekend,Night
20244026,Single,50,6:35,2024,12,Sunday,Weekend,Day
20241077,Single,50,8:09,2024,12,Sunday,Weekend,Day
20241028,Single,50,8:20,2024,12,Sunday,Weekend,Day
20241022,Single,100,11:20,2024,12,Sunday,Weekend,Day
20243015,Single,60,12:00,2024,12,Sunday,Weekend,Day
20244023,Single,100,12:35,2024,12,Sunday,Weekend,Day
20241098,Single,90,12:50,2024,12,Sunday,Weekend,Day
20243114,Multiple,100,13:00,2024,12,Sunday,Weekend,Day
20241040,Single,100,14:15,2024,12,Sunday,Weekend,Day
20241174,Single,60,14:48,2024,12,Sunday,Weekend,Day
20241088,Single,100,16:00,2024,12,Sunday,Weekend,Day
20241255,Single,100,18:20,2024,12,Sunday,Weekend,Night
20241053,Multiple,100,22:19,2024,12,Sunday,Weekend,Night
20243046,Multiple,60,23:00,2024,12,Sunday,Weekend,Night
20241080,Single,60,1:39,2024,12,Thursday,Weekday,Night
20243044,Single,100,12:00,2024,12,Thursday,Weekday,Day
20241274,Single,100,15:40,2024,12,Thursday,Weekday,Day
20243176,Single,60,4:00,2024,12,Tuesday,Weekday,Night
20241181,Single,110,8:30,2024,12,Tuesday,Weekday,Day
20243110,Single,60,11:00,2024,12,Tuesday,Weekday,Day
20244044,Single,100,13:30,2024,12,Tuesday,Weekday,Day
20243147,Single,80,15:00,2024,12,Tuesday,Weekday,Day
20244019,Single,100,18:30,2024,12,Tuesday,Weekday,Night
20241194,Single,80,21:10,2024,12,Tuesday,Weekday,Night
20241139,Single,50,22:55,2024,12,Tuesday,Weekday,Night
20241197,Single,100,23:55,2024,12,Tuesday,Weekday,Night
20243220,Single,100,0:00,2024,12,Wednesday,Weekday,Night
20243267,Single,90,4:00,2024,12,Wednesday,Weekday,Night
20241057,Single,110,12:25,2024,12,Wednesday,Weekday,Day
20243174,Single,80,16:00,2024,12,Wednesday,Weekday,Day
20241166,Single,100,17:00,2024,12,Wednesday,Weekday,Day
20243213,Single,100,2:00,2024,11,Friday,Weekday,Night
20241096,Single,100,4:44,2024,11,Friday,Weekday,Night
20242089,Single,60,7:05,2024,11,Friday,Weekday,Day
20243073,Single,70,10:00,2024,11,Friday,Weekday,Day
20241027,Single,100,10:50,2024,11,Friday,Weekday,Day
20241163,Single,100,12:42,2024,11,Friday,Weekday,Day
20243143,Single,100,13:00,2024,11,Friday,Weekday,Day
20241222,Single,100,14:30,2024,11,Friday,Weekday,Day
20241218,Single,110,17:30,2024,11,Friday,Weekday,Day
20243249,Single,100,18:00,2024,11,Friday,Weekend,Night
20243098,Single,80,20:00,2024,11,Friday,Weekend,Night
20241306,Single,60,22:35,2024,11,Friday,Weekend,Night
20243037,Single,50,6:00,2024,11,Monday,Weekday,Day
20244083,Single,60,6:23,2024,11,Monday,Weekday,Day
20241196,Single,60,11:30,2024,11,Monday,Weekday,Day
20244028,Multiple,100,12:12,2024,11,Monday,Weekday,Day
20243038,Single,100,14:00,2024,11,Monday,Weekday,Day
20242023,Single,70,14:20,2024,11,Monday,Weekday,Day
20242230,Single,100,15:05,2024,11,Monday,Weekday,Day
20242127,Single,80,15:07,2024,11,Monday,Weekday,Day
20242120,Single,100,15:08,2024,11,Monday,Weekday,Day
20241106,Single,60,15:38,2024,11,Monday,Weekday,Day
20241230,Single,70,16:30,2024,11,Monday,Weekday,Day
20241055,Single,50,17:57,2024,11,Monday,Weekday,Day
20241267,Single,50,20:00,2024,11,Monday,Weekday,Night
20242260,Single,80,23:10,2024,11,Monday,Weekday,Night
20242057,Single,100,5:20,2024,11,Saturday,Weekend,Night
20243153,Single,100,9:00,2024,11,Saturday,Weekend,Day
20242161,Single,60,9:25,2024,11,Saturday,Weekend,Day
20241236,Single,80,10:00,2024,11,Saturday,Weekend,Day
20243172,Single,10,10:00,2024,11,Saturday,Weekend,Day
20241188,Single,100,11:10,2024,11,Saturday,Weekend,Day
20243191,Multiple,100,16:00,2024,11,Saturday,Weekend,Day
20241256,Multiple,100,17:20,2024,11,Saturday,Weekend,Day
20242019,Single,100,18:39,2024,11,Saturday,Weekend,Night
20243008,Single,80,19:00,2024,11,Saturday,Weekend,Night
20243001,Single,80,21:00,2024,11,Saturday,Weekend,Night
20243041,Single,100,21:00,2024,11,Saturday,Weekend,Night
20244021,Single,60,21:35,2024,11,Saturday,Weekend,Night
