Crash_ID,Time_of_Day
20241115,Night
20241125,Day
20246013,Day
20241002,Day
20243185,Day
20244016,Day
20243168,Night
20246003,Night
20246001,Night
20244081,Night
20241087,Night
20241054,Night
20244042,Night
20243246,Day
20241101,Day
20241216,Day
20241300,Day
20243007,Day
20241278,Day
20241149,Day
20241068,Night
20243273,Night
20244020,Day
20244055,Day
20241094,Day
20243160,Day
20243209,Day
20244001,Day
20243243,Day
20246016,Day
20241119,Day
20241169,Night
20241291,Night
20243036,Night
20244026,Day
20241077,Day
20241028,Day
20241022,Day
20243015,Day
20244023,Day
20241098,Day
20243114,Day
20241040,Day
20241174,Day
20241088,Day
20241255,Night
20241053,Night
20243046,Night
20241080,Night
20243044,Day
20241274,Day
20243176,Night
20241181,Day
20243110,Day
20244044,Day
20243147,Day
20244019,Night
20241194,Night
20241139,Night
20241197,Night
20243220,Night
20243267,Night
20241057,Day
20243174,Day
20241166,Day
20243213,Night
20241096,Night
20242089,Day
20243073,Day
20241027,Day
20241163,Day
20243143,Day
20241222,Day
20241218,Day
20243249,Night
20243098,Night
20241306,Night
20243037,Day
20244083,Day
20241196,Day
20244028,Day
20243038,Day
20242023,Day
20242230,Day
20242127,Day
20242120,Day
20241106,Day
20241230,Day
20241055,Day
20241267,Night
20242260,Night
20242057,Night
20243153,Day
20242161,Day
20241236,Day
20243172,Day
20241188,Day
20243191,Day
20241256,Day
20242019,Night
20243008,Night
20243001,Night
20243041,Night
20244021,Night
20243113,Night
20241107,Night
20243022,Night
20248002,Night
20242088,Night
20241173,Night
20241004,Day
20246004,Day
20241201,Day
20241029,Day
20243005,Day
20241261,Day
20244024,Day
20241215,Day
20243186,Day
20243208,Night
20241134,Night
20243040,Night
20241263,Night
20241302,Night
20241147,Night
20243248,Day
20243096,Day
20241150,Day
20241247,Day
20241234,Day
20242110,Day
20242052,Night
20243247,Night
20243144,Day
20241235,Day
20243087,Day
20244061,Day
20241009,Day
20241072,Day
20243129,Day
20242219,Day
20241219,Day
20244010,Day
20244040,Day
20243171,Day
20242075,Day
20243079,Day
20241045,Night
20243017,Night
20241160,Day
20241081,Night
20241135,Night
20241209,Night
20242140,Day
20242142,Day
20243107,Day
20243020,Day
20241151,Day
20243158,Day
20241286,Day
20243102,Day
20241303,Day
20246029,Day
20248005,Day
20244018,Night
20241060,Night
20242022,Night
20241037,Night
20241257,Night
20241128,Night
20243089,Night
20242181,Day
20243082,Day
20243150,Day
20243170,Night
20243239,Night
20242040,Night
20243084,Night
20241030,Night
20243127,Day
20243003,Day
20243266,Day
20241042,Day
20243121,Day
20241175,Night
20243072,Night
20244057,Night
20241091,Day
20243201,Day
20242135,Day
20243225,Day
20241167,Day
20244060,Day
20241268,Day
20244013,Day
20243235,Day
20244059,Day
20241266,Day
20243131,Day
20242080,Day
20241287,Night
20241152,Night
20243161,Day
20242042,Day
20243210,Day
20244025,Day
20243088,Day
20241211,Day
20242007,Day
20241204,Day
20244062,Day
20241137,Day
20243117,Day
20242081,Day
20243206,Night
20248003,Night
20244032,Night
20241153,Night
20242138,Night
20243198,Day
20242107,Day
20243080,Night
20242204,Night
20242139,Night
20241103,Day
20242129,Day
20244027,Day
20243006,Day
20243108,Day
20243212,Night
20241237,Night
20241052,Night
20241308,Night
20246027,Night
20244072,Day
20241195,Day
20244043,Day
20241102,Day
20243194,Day
20243070,Day
20243165,Night
20241063,Night
20241132,Night
20241292,Night
20241189,Night
20241233,Night
20242115,Day
20242167,Day
20241016,Day
20243234,Day
20246025,Day
20241220,Day
20241034,Day
20242012,Day
20243009,Night
20241269,Day
20242093,Day
20242176,Day
20242255,Day
20241066,Day
20242175,Day
20243207,Night
20242029,Night
20241246,Night
20241078,Night
20243064,Night
20241013,Night
20246019,Night
20242257,Day
20241138,Day
20244014,Day
20244069,Day
20242053,Day
20243111,Day
20243067,Night
20242186,Night
20242250,Night
20243167,Night
20243106,Night
20242098,Night
20241179,Day
20242070,Day
20243261,Day
20243227,Day
20242243,Day
20242102,Day
20241109,Night
20243187,Night
20241301,Day
20243135,Day
20241248,Day
20243268,Day
20242071,Day
20241020,Day
20241294,Day
20241304,Day
20242123,Night
20242144,Night
20241199,Night
20243066,Night
20243233,Night
20243203,Night
20242209,Day
20242056,Day
20242130,Day
20243109,Day
20243010,Day
20243181,Day
20246018,Day
20241071,Day
20241186,Day
20243078,Night
20241223,Night
20241221,Night
20241143,Night
20243242,Night
20242189,Night
20242170,Night
20243043,Day
20241140,Day
20244063,Day
20241131,Day
20242172,Day
20241111,Day
20242055,Day
20241017,Day
20244067,Night
20246024,Night
20241254,Night
20243011,Day
20246011,Day
20242177,Day
20241127,Day
20241210,Day
20242132,Night
20242184,Night
20241253,Night
20243024,Night
20242224,Night
20243031,Night
20242069,Night
20243156,Night
20242251,Day
20244034,Day
20242090,Day
20243231,Day
20242194,Day
20243142,Day
20242043,Day
20243124,Day
20244007,Day
20242060,Day
20243104,Day
20244041,Night
20246026,Night
20243021,Night
20242155,Day
20242032,Day
20241285,Day
20244066,Night
20242064,Night
20242164,Night
20244035,Night
20243018,Day
20242086,Day
20243217,Day
20243251,Night
20243058,Night
20244046,Night
20243085,Day
20244039,Day
20243240,Day
20246002,Day
20242099,Day
20243063,Day
20241176,Day
20247022,Day
20241086,Day
20241224,Night
20241265,Day
20241202,Day
20246023,Day
20241293,Day
20241299,Day
20244078,Day
20243164,Day
20242201,Day
20241307,Night
20242074,Night
20241243,Night
20247034,Night
20241260,Night
20243004,Night
20246014,Day
20242024,Day
20243169,Day
20243081,Day
20242169,Day
20241110,Day
20241082,Night
20241159,Night
20246022,Night
20241229,Day
20242026,Day
20242268,Day
20242238,Day
20242122,Day
20241046,Day
20243192,Day
20241032,Day
20241031,Day
20243254,Day
20243133,Day
20241203,Night
20243118,Night
20243173,Night
20243199,Day
20244003,Day
20241298,Day
20242112,Day
20243092,Day
20243042,Day
20244005,Day
20243178,Day
20244050,Day
20241208,Night
20242259,Day
20242212,Day
20243019,Day
20241036,Day
20242226,Day
20247007,Day
20243074,Day
20241003,Day
20241277,Day
20241249,Day
20242020,Day
20242108,Night
20243120,Night
20242187,Night
20243116,Night
20242133,Night
