Crash_ID,Vehicle_ID
20241115,V1
20241125,V2
20246013,V3
20241002,V4
20243185,V5
20244016,V6
20243168,V7
20246003,V8
20246001,V9
20244081,V10
20241087,V11
20241054,V12
20244042,V13
20243246,V14
20241101,V15
20241216,V16
20241300,V17
20243007,V18
20241278,V19
20241149,V20
20241068,V21
20243273,V22
20244020,V23
20244055,V24
20241094,V25
20243160,V26
20243209,V27
20244001,V28
20243243,V29
20246016,V30
20241119,V31
20241169,V32
20241291,V33
20243036,V34
20244026,V35
20241077,V36
20241028,V37
20241022,V38
20243015,V39
20244023,V40
20241098,V41
20243114,V42
20241040,V43
20241174,V44
20241088,V45
20241255,V46
20241053,V47
20243046,V48
20241080,V49
20243044,V50
20241274,V51
20243176,V52
20241181,V53
20243110,V54
20244044,V55
20243147,V56
20244019,V57
20241194,V58
20241139,V59
20241197,V60
20243220,V61
20243267,V62
20241057,V63
20243174,V64
20241166,V65
20243213,V66
20241096,V67
20242089,V68
20243073,V69
20241027,V70
20241163,V71
20243143,V72
20241222,V73
20241218,V74
20243249,V75
20243098,V76
20241306,V77
20243037,V78
20244083,V79
20241196,V80
20244028,V81
20243038,V82
20242023,V83
20242230,V84
20242127,V85
20242120,V86
20241106,V87
20241230,V88
20241055,V89
20241267,V90
20242260,V91
20242057,V92
20243153,V93
20242161,V94
20241236,V95
20243172,V96
20241188,V97
20243191,V98
20241256,V99
20242019,V100
20243008,V101
20243001,V102
20243041,V103
20244021,V104
20243113,V105
20241107,V106
20243022,V107
20248002,V108
20242088,V109
20241173,V110
20241004,V111
20246004,V112
20241201,V113
20241029,V114
20243005,V115
20241261,V116
20244024,V117
20241215,V118
20243186,V119
20243208,V120
20241134,V121
20243040,V122
20241263,V123
20241302,V124
20241147,V125
20243248,V126
20243096,V127
20241150,V128
20241247,V129
20241234,V130
20242110,V131
20242052,V132
20243247,V133
20243144,V134
20241235,V135
20243087,V136
20244061,V137
20241009,V138
20241072,V139
20243129,V140
20242219,V141
20241219,V142
20244010,V143
20244040,V144
20243171,V145
20242075,V146
20243079,V147
20241045,V148
20243017,V149
20241160,V150
20241081,V151
20241135,V152
20241209,V153
20242140,V154
20242142,V155
20243107,V156
20243020,V157
20241151,V158
20243158,V159
20241286,V160
20243102,V161
20241303,V162
20246029,V163
20248005,V164
