Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20241115,Riverina,Wagga Wagga,Inner Regional Australia,Arterial Road
20241125,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Local Road
20246013,Launceston and North East,Northern Midlands,Inner Regional Australia,Local Road
20241002,New England and North West,Armidale,Outer Regional Australia,National or State Highway
20243185,Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway
20244016,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road
20243168,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road
20246003,Hobart,Brighton,Inner Regional Australia,Local Road
20246001,Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway
20244081,South Australia - South East,Mid Murray,Outer Regional Australia,Local Road
20241087,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20241054,Capital Region,Upper Lachlan,Inner Regional Australia,National or State Highway
20244042,South Australia - South East,Wattle Range,Outer Regional Australia,Local Road
20243246,Cairns,Cairns,Outer Regional Australia,Collector Road
20241101,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20241216,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20241300,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,National or State Highway
20243007,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway
20241278,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20241149,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Collector Road
20241068,Murray,Greater Hume,Outer Regional Australia,National or State Highway
20243273,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Local Road
20244020,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
20244055,South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway
20241094,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway
20243160,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20243209,Cairns,Douglas,Outer Regional Australia,Local Road
20244001,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20243243,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20246016,Launceston and North East,Dorset,Outer Regional Australia,National or State Highway
20241119,New England and North West,Armidale,Inner Regional Australia,Local Road
20241169,Mid North Coast,Nambucca Valley,Inner Regional Australia,National or State Highway
20241291,Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
20243036,Wide Bay,Fraser Coast,Inner Regional Australia,Local Road
20244026,South Australia - Outback,Unincorporated SA,Very Remote Australia,Local Road
20241077,Illawarra,Shellharbour,Major Cities of Australia,Collector Road
20241028,Illawarra,Wollongong,Major Cities of Australia,Collector Road
20241022,New England and North West,Narrabri,Outer Regional Australia,Sub-arterial Road
20243015,Logan - Beaudesert,Logan,Inner Regional Australia,Local Road
20244023,Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
20241098,Mid North Coast,Nambucca Valley,Inner Regional Australia,Sub-arterial Road
20243114,Queensland - Outback,Cook,Remote Australia,Sub-arterial Road
20241040,New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
20241174,Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
20241088,New England and North West,Tamworth,Outer Regional Australia,Arterial Road
20241255,Capital Region,Hilltops,Inner Regional Australia,Arterial Road
20241053,Central West,Forbes,Outer Regional Australia,Arterial Road
