SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
Riverina,Wagga Wagga,Inner Regional Australia,Arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Local Road
Launceston and North East,Northern Midlands,Inner Regional Australia,Local Road
New England and North West,Armidale,Outer Regional Australia,National or State Highway
Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway
Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Sub-arterial Road
Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,Local Road
Hobart,Brighton,Inner Regional Australia,Local Road
Launceston and North East,West Tamar,Outer Regional Australia,National or State Highway
South Australia - South East,Mid Murray,Outer Regional Australia,Local Road
Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
Capital Region,Upper Lachlan,Inner Regional Australia,National or State Highway
South Australia - South East,Wattle Range,Outer Regional Australia,Local Road
Cairns,Cairns,Outer Regional Australia,Collector Road
Illawarra,Wollongong,Major Cities of Australia,National or State Highway
Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,National or State Highway
Wide Bay,South Burnett,Outer Regional Australia,National or State Highway
Central West,Mid-Western,Outer Regional Australia,Arterial Road
Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Collector Road
Murray,Greater Hume,Outer Regional Australia,National or State Highway
Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Local Road
Barossa - Yorke - Mid North,Barossa,Inner Regional Australia,Sub-arterial Road
South Australia - South East,Wattle Range,Outer Regional Australia,National or State Highway
Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,National or State Highway
Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
Cairns,Douglas,Outer Regional Australia,Local Road
South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
Launceston and North East,Dorset,Outer Regional Australia,National or State Highway
New England and North West,Armidale,Inner Regional Australia,Local Road
Mid North Coast,Nambucca Valley,Inner Regional Australia,National or State Highway
Far West and Orana,Narromine,Outer Regional Australia,National or State Highway
Wide Bay,Fraser Coast,Inner Regional Australia,Local Road
South Australia - Outback,Unincorporated SA,Very Remote Australia,Local Road
Illawarra,Shellharbour,Major Cities of Australia,Collector Road
Illawarra,Wollongong,Major Cities of Australia,Collector Road
New England and North West,Narrabri,Outer Regional Australia,Sub-arterial Road
Logan - Beaudesert,Logan,Inner Regional Australia,Local Road
Mid North Coast,Nambucca Valley,Inner Regional Australia,Sub-arterial Road
Queensland - Outback,Cook,Remote Australia,Sub-arterial Road
New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
Central Coast,Central Coast (NSW),Major Cities of Australia,Arterial Road
New England and North West,Tamworth,Outer Regional Australia,Arterial Road
Capital Region,Hilltops,Inner Regional Australia,Arterial Road
Central West,Forbes,Outer Regional Australia,Arterial Road
Toowoomba,Toowoomba,Inner Regional Australia,Collector Road
Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Arterial Road
Central Queensland,Livingstone,Remote Australia,National or State Highway
Sydney - Blacktown,Blacktown,Major Cities of Australia,National or State Highway
Murray,Balranald,Outer Regional Australia,National or State Highway
Queensland - Outback,Lockhart River,Very Remote Australia,Local Road
Barossa - Yorke - Mid North,Light,Inner Regional Australia,Sub-arterial Road
Cairns,Cassowary Coast,Outer Regional Australia,National or State Highway
South Australia - Outback,Tumby Bay,Remote Australia,Collector Road
Sydney - South West,Liverpool,Major Cities of Australia,Arterial Road
Sydney - Parramatta,Cumberland,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,National or State Highway
Cairns,Cassowary Coast,Outer Regional Australia,Collector Road
Moreton Bay - North,Moreton Bay,Inner Regional Australia,National or State Highway
Richmond - Tweed,Ballina,Inner Regional Australia,National or State Highway
Logan - Beaudesert,Logan,Inner Regional Australia,National or State Highway
Richmond - Tweed,Kyogle,Inner Regional Australia,Sub-arterial Road
Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
Melbourne - Inner,Melbourne,Major Cities of Australia,Arterial Road
Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
Riverina,Snowy Valleys,Outer Regional Australia,National or State Highway
New England and North West,Tamworth,Outer Regional Australia,Sub-arterial Road
Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Local Road
Sydney - South West,Fairfield,Major Cities of Australia,National or State Highway
Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
Central Queensland,Central Highlands (Qld),Remote Australia,Collector Road
Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,The Hills,Major Cities of Australia,Collector Road
Cairns,Cairns,Outer Regional Australia,Local Road
Adelaide - North,Salisbury,Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
Melbourne - North West,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
Warrnambool and South West,Moyne,Inner Regional Australia,Arterial Road
Melbourne - South East,Cardinia,Major Cities of Australia,Collector Road
Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Arterial Road
Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
Sydney - Baulkham Hills and Hawkesbury,Hornsby,Major Cities of Australia,Arterial Road
Central Coast,Central Coast (NSW),Major Cities of Australia,Local Road
Hunter Valley exc Newcastle,Muswellbrook,Inner Regional Australia,Local Road
Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
Melbourne - North West,Macedon Ranges,Inner Regional Australia,Arterial Road
