Participant ID,Gender,Age,Age Group,Road User,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement
1,Male,74,65_to_74,Driver,No,No,No
2,Female,19,17_to_25,Driver,No,No,No
3,Female,33,26_to_39,Driver,No,No,No
4,Female,32,26_to_39,Driver,No,No,No
5,Female,61,40_to_64,Passenger,No,No,No
6,Male,47,40_to_64,Motorcycle rider,No,No,No
7,Female,29,26_to_39,Passenger,No,No,No
8,Male,19,17_to_25,Motorcycle rider,No,No,No
9,Female,55,40_to_64,Driver,No,No,No
10,Female,45,40_to_64,Driver,No,No,No
11,Male,50,40_to_64,Pedestrian,No,No,No
12,Male,45,40_to_64,Driver,No,No,Yes
13,Male,61,40_to_64,Driver,No,No,No
14,Male,74,65_to_74,Pedestrian,No,No,No
15,Male,25,17_to_25,Driver,No,No,Yes
16,Male,4,0_to_16,Pedestrian,No,No,No
17,Male,27,26_to_39,Driver,No,No,No
18,Male,66,65_to_74,Driver,No,No,No
19,Male,27,26_to_39,Driver,No,No,No
20,Female,65,65_to_74,Pedestrian,No,No,No
21,Male,32,26_to_39,Driver,Yes,No,Yes
22,Male,25,17_to_25,Driver,No,No,No
23,Male,69,65_to_74,Motorcycle rider,No,No,No
24,Female,59,40_to_64,Driver,No,No,No
25,Female,68,65_to_74,Passenger,No,No,No
26,Male,69,65_to_74,Motorcycle rider,No,No,No
27,Female,68,65_to_74,Passenger,No,No,No
28,Male,76,75_or_older,Driver,No,No,No
29,Male,35,26_to_39,Motorcycle rider,No,No,No
30,Male,55,40_to_64,Motorcycle rider,No,No,No
31,Male,63,40_to_64,Motorcycle rider,No,Yes,No
32,Female,66,65_to_74,Passenger,No,No,No
33,Male,61,40_to_64,Pedal cyclist,No,No,No
34,Female,30,26_to_39,Driver,No,No,No
35,Male,34,26_to_39,Driver,No,No,No
36,Male,26,26_to_39,Driver,No,No,Yes
37,Male,46,40_to_64,Motorcycle rider,No,No,No
38,Female,50,40_to_64,Pedestrian,No,No,No
39,Female,85,75_or_older,Pedestrian,No,No,No
40,Female,92,75_or_older,Driver,No,No,No
41,Male,76,75_or_older,Driver,No,No,No
42,Male,60,40_to_64,Motorcycle rider,No,No,No
43,Female,74,65_to_74,Driver,No,No,No
44,Male,26,26_to_39,Motorcycle rider,No,No,No
