Vehicle_ID,Bus_Involvement,Heavy_Rigid_Truck,Articulated_Truck,Speed_Limit
1,No,No,No,100
2,No,No,No,80
3,No,No,No,50
4,No,No,No,100
5,No,No,No,100
6,No,No,No,100
7,No,No,No,60
8,No,No,No,50
9,No,No,No,100
10,No,No,No,50
11,No,No,No,70
12,No,No,Yes,110
13,No,No,No,100
14,No,No,No,80
15,No,No,Yes,60
16,No,No,No,60
17,No,No,No,100
18,No,No,No,100
19,No,No,No,100
20,No,No,No,40
21,Yes,No,Yes,110
22,No,No,No,100
23,No,No,No,100
24,No,No,No,110
25,No,No,No,110
26,No,No,No,50
27,No,No,No,100
28,No,No,No,100
29,No,No,No,50
30,No,No,No,100
31,No,Yes,No,70
32,No,No,No,100
33,No,No,No,100
34,No,No,No,100
35,No,No,No,80
36,No,No,Yes,110
37,No,No,No,100
38,No,No,No,50
39,No,No,No,50
40,No,No,No,50
41,No,No,No,100
42,No,No,No,60
43,No,No,No,100
44,No,No,No,90
45,No,No,No,100
46,No,No,No,100
47,No,No,No,100
48,No,No,No,60
49,No,No,No,100
50,No,No,No,100
51,No,No,No,100
52,No,No,No,100
53,No,No,No,60
54,No,No,No,60
55,No,No,No,60
56,No,No,Yes,100
57,No,No,No,100
58,No,No,No,60
59,No,No,Yes,110
60,No,No,No,60
61,No,No,No,100
62,No,No,No,80
63,No,No,No,100
64,No,Yes,Yes,80
65,Yes,No,No,50
66,No,No,Yes,100
67,No,No,No,100
68,No,No,No,90
69,No,No,No,110
70,No,No,No,80
71,No,No,No,100
72,No,No,Yes,100
73,No,No,No,100
74,No,No,No,60
75,No,No,No,70
76,No,No,No,100
77,No,No,No,100
78,No,No,No,100
79,No,No,No,100
80,No,No,No,110
81,No,No,No,100
82,No,No,No,80
83,No,No,No,60
84,No,No,No,50
85,No,No,No,60
86,No,No,No,60
87,No,No,No,100
88,No,No,No,100
89,No,No,No,100
90,No,No,Yes,70
91,No,No,No,100
92,No,No,No,80
93,No,No,No,100
94,No,No,No,60
95,No,No,No,70
96,No,No,No,50
97,No,No,No,50
98,No,No,No,80
99,No,No,No,100
100,No,No,Yes,100
101,No,No,No,60
102,No,No,No,80
103,No,No,No,10
104,No,No,No,100
105,No,No,No,100
106,No,No,No,100
107,No,No,No,100
108,No,No,No,100
109,No,No,No,100
110,Yes,No,No,80
111,No,No,No,80
112,No,No,No,100
113,No,No,No,60
114,No,No,No,60
115,No,No,No,100
116,No,No,No,60
117,No,No,No,80
118,No,No,No,80
119,No,No,Yes,110
120,No,No,Yes,110
121,No,No,No,50
122,No,Yes,Yes,110
123,No,No,No,50
124,No,No,No,80
125,No,No,No,60
126,No,No,No,90
127,No,No,No,80
128,No,No,No,100
129,No,No,No,80
130,No,No,No,40
131,No,No,No,80
132,No,Yes,Yes,60
133,No,Yes,Yes,60
134,No,No,No,50
135,No,No,No,110
136,No,No,No,50
137,No,No,No,70
138,No,No,No,50
139,Yes,No,No,50
140,No,No,Yes,100
141,No,No,No,100
142,No,No,No,80
143,No,Yes,No,70
144,No,No,No,100
145,No,No,Yes,100
146,No,No,Yes,80
147,No,No,No,100
148,No,No,No,100
149,No,No,No,110
150,No,No,No,80
151,No,No,No,60
152,No,No,Yes,100
153,No,Yes,No,100
154,No,No,No,80
155,No,No,No,100
156,No,No,No,50
157,No,No,No,100
158,No,No,No,80
159,No,No,No,100
160,No,No,No,50
161,No,No,Yes,100
162,No,No,Yes,100
163,No,Yes,No,50
164,No,No,Yes,100
165,No,No,No,100
166,No,No,Yes,110
167,No,Yes,No,100
168,No,Yes,No,100
169,No,No,No,100
