Vehicle_ID,Crash_ID,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit
V1,20241115,No,No,No,100
V2,20241125,No,No,No,80
V3,20246013,No,No,No,50
V4,20241002,No,No,No,100
V5,20243185,No,No,No,100
V6,20244016,No,No,No,100
V7,20243168,No,No,No,60
V8,20246003,No,No,No,50
V9,20246001,No,No,No,100
V10,20244081,No,No,No,50
V11,20241087,No,No,No,70
V12,20241054,No,No,Yes,110
V13,20244042,No,No,No,100
V14,20243246,No,No,No,80
V15,20241101,No,No,Yes,60
V16,20241216,No,No,No,60
V17,20241300,No,No,No,100
V18,20243007,No,No,No,100
V19,20241278,No,No,No,100
V20,20241149,No,No,No,40
V21,20241068,Yes,No,Yes,110
V22,20243273,No,No,No,100
V23,20244020,No,No,No,100
V24,20244055,No,No,No,110
V25,20241094,No,No,No,50
V26,20243160,No,No,No,100
V27,20243209,No,No,No,50
V28,20244001,No,No,No,100
V29,20243243,No,Yes,No,70
V30,20246016,No,No,No,100
V31,20241119,No,No,No,100
V32,20241169,No,No,No,80
V33,20241291,No,No,Yes,110
V34,20243036,No,No,No,100
V35,20244026,No,No,No,50
V36,20241077,No,No,No,50
V37,20241028,No,No,No,50
V38,20241022,No,No,No,100
V39,20243015,No,No,No,60
V40,20244023,No,No,No,100
V41,20241098,No,No,No,90
V42,20243114,No,No,No,100
V43,20241040,No,No,No,100
V44,20241174,No,No,No,60
V45,20241088,No,No,No,100
V46,20241255,No,No,No,100
V47,20241053,No,No,No,100
V48,20243046,No,No,No,60
V49,20241080,No,No,No,60
V50,20243044,No,No,Yes,100
V51,20241274,No,No,No,100
V52,20243176,No,No,No,60
V53,20241181,No,No,Yes,110
V54,20243110,No,No,No,60
V55,20244044,No,No,No,100
V56,20243147,No,No,No,80
V57,20244019,No,No,No,100
V58,20241194,No,Yes,Yes,80
V59,20241139,Yes,No,No,50
V60,20241197,No,No,Yes,100
V61,20243220,No,No,No,100
V62,20243267,No,No,No,90
V63,20241057,No,No,No,110
V64,20243174,No,No,No,80
V65,20241166,No,No,No,100
V66,20243213,No,No,Yes,100
V67,20241096,No,No,No,100
V68,20242089,No,No,No,60
V69,20243073,No,No,No,70
V70,20241027,No,No,No,100
